Team	Win%	C w/D Win %	Difference
Hawks	0.56060606	0.56060606	0
Nets	0.57575756	0.56060606	0.0151515
Jazz	0.5	0.4848485	0.0151515
Bulls	0.53846157	0.52307695	0.01538462
Bucks	0.50769234	0.4923077	0.01538464
Raptors	0.4	0.43076923	0.03076923
76ers	0.3846154	0.33846155	0.04615385
Mavericks	0.47692308	0.52307695	0.04615387
Celtics	0.5625	0.609375	0.046875
Lakers	0.53731346	0.5970149	0.05970144
Nuggets	0.70149255	0.64179105	0.0597015
Trail Blazers	0.45454547	0.37878788	0.07575759
Cavaliers	0.3181818	0.22727273	0.09090907
Heat	0.796875	0.890625	0.09375
Warriors	0.5588235	0.45588234	0.10294116
Kings	0.36363637	0.25757575	0.10606062
Rockets	0.52307695	0.63076925	0.1076923
Timberwolves	0.34375	0.234375	0.109375
Magic	0.25373134	0.13432837	0.11940297
Pistons	0.3382353	0.20588236	0.13235294
Grizzlies	0.6923077	0.83076924	0.13846154
Wizards	0.35384616	0.4923077	0.13846154
Spurs	0.75384617	0.9076923	0.15384613
Knicks	0.59375	0.75	0.15625
Hornets	0.3283582	0.1641791	0.1641791
Thunder	0.74626863	0.92537314	0.17910451
Bobcats	0.21212122	0.015151516	0.196969704
Clippers	0.67164177	0.880597	0.20895523
Pacers	0.6212121	0.8333333	0.2121212
Suns	0.3432836	0.05970149	0.28358211
